,Unnamed: 0,City,PD,State,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),All People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
47,47,Las Vegas,Las Vegas Metropolitan Police Department,NV,12.0,14.0,1.0,1.0,,27.0,4.0,59,"2,027,868","62,008","279,703","2,391","34,606","3,103",37709,"1,101","16,985","183,859",32.44,20,1.0,4.2,27.6,13.8,10.9,2,0.79,11374.0,12876.0,14383.0,13520.0,10071.0,9949.0,12028.8,5.9,78230.0,70950.0,65575.0,67664.0,68602.0,75653.0,69688.8,8.5,"Clark County, NV"
48,48,Lexington,Lexington Police Department,MA,1.0,,,,,2.0,,3,"295,803","42,336","216,072",599,"9,506",107,9613,546,"6,163","20,474",40.93,7,2.4,1.4,3.4,1.3,0.0,2.55,0,946.0,1041.0,1044.0,1079.0,1131.0,982.0,1037.2,3.5,9189.0,8202.0,13310.0,13034.0,17257.0,19232.0,14207,2.1,"Middlesex County, MA"
49,49,Lincoln,Lincoln Police Department,NE,2.0,,,,,1.0,,3,"258,379","9,541","214,739","1,611","9,711",128,9839,353,"6,114","16,182",32.16,23,8.9,1.7,29.9,0.7,0.0,45.01,0,990.0,918.0,1025.0,1006.0,,1045.0,996.8,3.9,13366.0,14839.0,13518.0,13053.0,,12874.0,13571,2.2,"Lancaster County, NE"
50,50,Long Beach,Long Beach Police Department,CA,7.0,8.0,,4.0,,5.0,,24,"462,257","59,925","135,698","1,349","58,268","4,915",63183,"1,118","12,572","188,412",57.35,260,56.2,7.4,16.7,5.3,6.1,3.17,1.15,2346.0,2304.0,2766.0,2846.0,3101.0,3284.0,2774.5,6.0,18346.0,19109.0,15411.0,14726.0,12145.0,13362.0,14950.6,16.1,"Los Angeles County, CA"
51,51,Los Angeles,Los Angeles Police Department,CA,27.0,71.0,,2.0,,20.0,3.0,123,"3,792,621","347,380","1,086,908","6,589","420,212","4,300",424512,"12,057","76,353","1,838,822",66.91,56,1.5,4.6,11.1,2.6,5.5,4.22,2.1,16524.0,19171.0,25156.0,28817.0,30507.0,30126.0,25050.2,6.6,90436.0,83187.0,71732.0,68768.0,64440.0,58688.0,69363,17.7,"Los Angeles County, CA"
52,52,Louisville,Louisville Metro Police Department,KY,12.0,,,1.0,,7.0,2.0,22,"597,337","135,138","408,157","1,289","12,764",347,13111,"1,018","11,834","26,790",55.44,12,2.0,5.3,12.7,2.5,0.0,5.18,0,3644.0,4015.0,4315.0,4638.0,4596.0,4232.0,4240.0,7.1,31716.0,34606.0,41338.0,40838.0,42199.0,41453.0,40086.8,5.5,"Jefferson County, KY"
53,53,Lubbock,Lubbock Police Department,TX,,3.0,,,,,,3,"229,573","18,744","127,915",845,"5,471",147,5618,241,"2,585","73,625",47.23,7,3.0,1.9,0.0,0.0,5.8,#DIV/0!,#DIV/0!,1829.0,2084.0,2391.0,2741.0,,2565.0,2322.0,10.1,8861.0,7695.0,8092.0,7679.0,7129.0,7496.0,7618.2,3.9,"Lubbock County, TX"
54,54,Madison,Madison Police Department,WI,3.0,,,,,5.0,,8,"233,209","16,507","176,463",763,"17,126",67,17193,374,"5,961","15,948",36.64,140,60.0,4.9,26.0,4.0,0.0,6.41,0,884.0,846.0,890.0,832.0,958.0,1043.0,908.8,3.9,9265.0,9363.0,9382.0,8324.0,7925.0,8016.0,8602,9.3,"Dane County, WI"
55,55,Memphis,Memphis Police Department,TN,15.0,1.0,,,,4.0,4.0,24,"646,889","408,075","177,735","1,186","10,067",159,10226,742,"6,931","41,994",67.86,13,2.0,5.3,5.3,3.2,3.4,1.63,1.06,10894.0,11399.0,11449.0,11947.0,13077.0,12674.0,11906.7,18.4,47866.0,39655.0,34280.0,31793.0,30103.0,31342.0,33434.6,7.2,"Shelby County, TN"
56,56,Mesa,Mesa Police Department,AZ,,7.0,2.0,,,14.0,2.0,25,"439,041","14,101","282,505","8,359","8,174","1,532",9706,555,"8,062","115,753",29.54,81,18.4,8.1,0.0,7.1,8.6,0,1.22,1807.0,2119.0,1972.0,2051.0,2047.0,1837.0,1972.2,4.5,24509.0,24120.0,25723.0,22995.0,24344.0,20800.0,23596.4,10.6,"Maricopa County, AZ"
57,57,Nashville,Metropolitan Nashville Police Department,TN,6.0,2.0,,,,3.0,,11,"601,222","169,272","338,782","1,418","18,497",275,18772,"1,155","11,433","60,390",49.16,90,15.0,2.6,5.1,1.3,4.7,4,3.74,6612.0,7270.0,7245.0,7371.0,7682.0,7641.0,7303.5,12.1,51672.0,47378.0,45841.0,42771.0,40511.0,35949.0,42490,2.6,"Davidson County, TN"
58,58,Miami,Miami Police Department,FL,3.0,6.0,,,,,2.0,11,"399,457","64,993","47,622",361,"3,649",58,3707,676,"2,642","279,456",75.53,31,7.8,3.9,6.6,0.0,3.1,No White People were Killed by Police,No White People were Killed by Police,4945.0,4473.0,4473.0,3989.0,3338.0,2978.0,4032.7,10.1,31210.0,29208.0,25618.0,24100.0,19213.0,20902.0,23808.2,4.6,"Miami-Dade County, FL"
59,59,Milwaukee,Milwaukee Police Department,WI,14.0,1.0,,,,2.0,,17,"594,833","233,325","220,219","3,408","20,553",195,20748,819,"13,307","103,007",70.11,41,6.9,4.1,8.6,1.3,1.4,6.61,1.07,8194.0,8864.0,9583.0,9201.0,9507.0,8416.0,8960.8,15.1,41870.0,32550.0,27082.0,24185.0,24024.0,19057.0,25379.6,6.7,"Milwaukee County, WI"
60,60,Minneapolis,Minneapolis Police Department,MN,5.0,1.0,,1.0,,1.0,,8,"382,578","69,971","230,650","6,351","21,399",168,21567,962,"13,004","40,073",50.92,150,39.2,3.0,10.2,0.6,3.6,16.48,5.76,4038.0,4093.0,4395.0,4622.0,4614.0,3395.0,4192.8,11.0,20797.0,17358.0,15019.0,11879.0,11955.0,11652.0,13572.6,5.9,"Hennepin County, MN"
61,61,New Orleans,New Orleans Police Department,LA,10.0,,,,,2.0,,12,"343,829","204,866","104,770",827,"9,883",105,9988,967,"4,360","18,051",67.63,333,96.9,5.0,7.0,2.7,0.0,2.56,0,2965.0,3770.0,3736.0,4249.0,4457.0,4611.0,3964.7,11.5,,,17017.0,20589.0,25089.0,23674.0,21592.25,5.6,"Orleans County, LA"
62,62,New York,New York Police Department,NY,48.0,10.0,,,,9.0,8.0,75,"8,175,133","1,861,295","2,722,904","17,427","1,028,119","2,795",1030914,"57,841","148,676","2,336,076",81.41,93,1.1,1.3,3.7,0.5,0.6,7.8,1.3,52384.0,50564.0,50088.0,49124.0,46433.0,46113.0,49117.7,6.0,393809.0,387727.0,339470.0,314864.0,286225.0,246773.0,315011.8,2.4,"New York County, NY"
63,63,Newark,Newark Police Department,NJ,7.0,1.0,,,,2.0,1.0,11,"277,140","138,074","32,122",713,"4,318",68,4386,"3,899","4,200","93,746",71.19,31,11.2,5.7,7.2,8.9,1.5,0.81,0.17,3516.0,3008.0,,2637.0,2543.0,2069.0,2754.6,9.9,13648.0,10192.0,,8490.0,7624.0,7453.0,8439.75,13.0,"Essex County, NJ"
64,64,Norfolk,Norfolk Police Department,VA,7.0,,,,,4.0,,11,"242,803","102,452","107,463",935,"7,861",359,8220,471,"7,118","16,144",50.8,12,4.9,6.5,9.8,5.3,0.0,1.84,0,1418.0,1280.0,1329.0,1616.0,1363.0,1134.0,1356.7,5.6,17611.0,15834.0,12700.0,11870.0,12692.0,13469.0,13313,8.3,"Norfolk County, VA"
65,65,North Las Vegas,North Las Vegas Police Department,NV,2.0,3.0,,,,2.0,,7,"216,961","41,561","67,687",871,"13,122","1,684",14806,377,"7,525","84,134",27.1,80,36.9,4.6,6.9,4.2,5.1,1.63,1.21,1806.0,1782.0,2130.0,2276.0,2461.0,2386.0,2140.2,9.9,,6922.0,5922.0,5935.0,5750.0,7056.0,6317,11.1,"Clark County, NV"
66,66,Oakland,Oakland Police Department,CA,7.0,,,,,2.0,,9,"390,724","106,637","101,308","1,214","65,127","2,081",67208,"1,213","14,076","99,068",51.89,45,11.5,3.3,9.4,2.8,0.0,3.33,0,7984.0,6910.0,6051.0,6059.0,5521.0,5480.0,6334.2,16.2,7562.0,9781.0,10850.0,11083.0,10518.0,8971.0,10240.6,8.8,"Alameda County, CA"
67,67,Oklahoma City,Oklahoma City Police Department,OK,24.0,7.0,3.0,,,14.0,,48,"579,999","85,744","328,582","18,208","23,051",464,23515,700,"23,212","100,038",46.73,32,5.5,11.8,40.0,6.1,10.0,6.57,1.64,4998.0,4782.0,4828.0,5027.0,5104.0,5663.0,5067.0,8.7,19330.0,19515.0,19660.0,18574.0,17246.0,15795.0,18158,26.4,"Oklahoma County, OK"
68,68,Omaha,Omaha Police Department,NE,6.0,1.0,1.0,,,7.0,,15,"408,958","55,128","278,172","2,263","9,889",253,10142,806,"8,894","53,553",58.03,15,3.7,5.2,15.5,3.6,2.7,4.33,0.74,2449.0,2458.0,2329.0,2531.0,2909.0,2628.0,2550.7,6.2,19407.0,20400.0,,18677.0,,19072.0,19383,7.7,"Douglas County, NE"
69,69,Orlando,Orlando Police Department,FL,9.0,5.0,,1.0,,3.0,,18,"238,300","63,584","98,533",483,"8,756",130,8886,"1,688","4,643","60,483",60.99,248,104.1,10.8,20.2,4.3,11.8,4.65,2.72,2316.0,2340.0,2525.0,2328.0,2113.0,2282.0,2317.3,9.7,11427.0,11408.0,10650.0,9344.0,9059.0,8727.0,9837.6,18.3,"Orange County, FL"
70,70,Philadelphia,Philadelphia Police Department,PA,21.0,,,,,2.0,9.0,32,"1,526,006","644,287","562,585","3,498","95,521",457,95978,"4,105","27,942","187,611",73.35,114,7.5,3.0,4.7,0.5,0.0,9.17,0,17074.0,15925.0,16132.0,15534.0,14930.0,14420.0,15669.2,10.3,86253.0,82799.0,69324.0,53807.0,52689.0,46301.0,60984,5.2,"Philadelphia County, PA"
71,71,Phoenix,Phoenix Police Department,AZ,15.0,41.0,4.0,,,40.0,11.0,111,"1,445,632","86,788","672,573","23,327","43,894","2,055",45949,"2,242","24,876","589,877",49.89,69,4.8,11.0,24.7,8.5,9.9,2.91,1.17,9492.0,8749.0,9261.0,10700.0,12511.0,12110.0,10470.5,7.2,70691.0,59811.0,,44335.0,49958.0,52449.0,51638.25,21.5,"Maricopa County, AZ"
72,72,Pittsburgh,Pittsburgh Police Department,PA,6.0,,,,,1.0,,7,"305,704","78,847","198,186",505,"13,393",76,13469,843,"6,890","6,964",56.55,4,1.3,3.3,10.9,0.7,0.0,15.08,0,2259.0,2455.0,2167.0,2366.0,2008.0,1751.0,2167.7,7.1,17868.0,15406.0,12911.0,11897.0,13534.0,11699.0,13089.4,5.3,"Allegheny County, PA"
73,73,Plano,Plano Police Department,TX,,1.0,,,,1.0,,2,"259,841","19,199","151,629",831,"43,659",121,43780,449,"5,779","38,174",26.4,26,10.0,1.1,0.0,0.9,3.7,0,3.97,389.0,459.0,433.0,399.0,435.0,402.0,419.5,1.6,8832.0,3432.0,9163.0,8885.0,9335.0,7657.0,7694.4,2.6,"Collin County, TX"
74,74,Portland,Portland Police Bureau,OR,4.0,1.0,,,,13.0,,18,"583,776","35,462","421,773","4,381","41,335","2,978",44313,"1,299","21,708","54,840",38.64,12,2.1,4.4,16.1,4.4,2.6,3.66,0.59,2941.0,2911.0,680.0,3163.0,3349.0,3418.0,2743.7,4.7,,20160.0,,20322.0,19107.0,20501.0,20022.5,9.0,"Multnomah County, OR"
75,75,Raleigh,Raleigh Police Department,NC,2.0,1.0,,,,1.0,,4,"403,892","115,976","215,204","1,019","17,309",139,17448,828,"7,549","45,868",50.26,15,3.7,1.4,2.5,0.7,3.1,3.71,4.69,1683.0,,,,,,1683.0,4.2,27458.0,,,,,,#DIV/0!,,"Wake County, NC"
76,76,Reno,Reno Police Department,NV,3.0,5.0,,,,4.0,2.0,14,"225,221","5,990","140,752","2,066","13,913","1,505",15418,441,"5,914","54,640",32.08,12,5.3,8.9,71.5,4.1,13.1,17.62,3.22,1154.0,1147.0,1419.0,1717.0,1674.0,1636.0,1457.8,6.5,12196.0,12309.0,11869.0,12044.0,12837.0,14422.0,12696.2,11.0,"Washoe County, NV"
77,77,Riverside,Riverside Police Department,CA,3.0,5.0,,,,,,8,"303,871","19,917","103,398","1,297","21,934","1,019",22953,617,"6,736","148,953",25.41,27,8.9,3.8,21.5,0.0,4.8,No White People were Killed by Police,No White People were Killed by Police,1330.0,1384.0,1441.0,1724.0,1669.0,1686.0,1539.0,5.1,8117.0,11796.0,8500.0,9122.0,7573.0,7443.0,8886.8,9.0,"Riverside County, CA"
78,78,Rochester,Rochester Police Department,NY,2.0,,,1.0,,1.0,,4,"210,565","83,346","79,178",666,"6,350",77,6427,392,"6,100","34,456",51.59,28,13.3,2.7,3.4,1.8,0.0,1.9,0,2107.0,1765.0,1839.0,1845.0,1872.0,1615.0,1840.5,8.7,,,,,,,#DIV/0!,,"Monroe County, NY"
79,79,Sacramento,Sacramento Police Department,CA,5.0,2.0,,,,5.0,1.0,13,"466,488","64,967","161,062","2,586","83,841","6,392",90233,"1,253","21,111","125,276",40.57,103,22.1,4.0,11.0,4.4,2.3,2.48,0.51,3137.0,2968.0,3611.0,3549.0,3378.0,3329.0,3328.7,7.1,18467.0,19824.0,18132.0,16282.0,13810.0,14054.0,16420.4,7.9,"Sacramento County, CA"
80,80,San Antonio,San Antonio Police Department,TX,8.0,25.0,,1.0,,9.0,4.0,47,"1,327,407","83,365","353,106","2,771","30,596","1,097",31693,"2,105","15,415","838,952",43.08,43,3.2,5.1,13.7,3.6,4.3,3.77,1.17,8828.0,7704.0,8594.0,10754.0,10759.0,9647.0,9381.0,7.1,58324.0,57490.0,50826.0,42077.0,52253.0,61234.0,52776,8.9,"Bexar County, TX"
81,81,San Bernardino,San Bernardino Police Department,CA,,5.0,,1.0,,3.0,1.0,10,"209,924","29,897","39,977",867,"8,027",704,8731,361,"4,097","125,994",33.1,32,15.2,6.8,0.0,10.7,5.7,0,0.53,1949.0,2128.0,2697.0,2878.0,2805.0,2906.0,2560.5,12.2,6996.0,7993.0,6337.0,6714.0,8120.0,9195.0,7671.8,13.0,"San Bernardino County, CA"
82,82,San Diego,San Diego Police Department,CA,2.0,9.0,,4.0,1.0,12.0,2.0,30,"1,307,402","82,497","589,702","3,545","204,347","5,178",209525,"3,293","42,820","376,020",54.57,45,3.4,3.3,3.5,2.9,3.4,1.19,1.18,5303.0,5214.0,5582.0,5332.0,5221.0,5360.0,5335.3,4.1,41444.0,40118.0,36587.0,35761.0,35725.0,33674.0,36373,8.2,"San Diego County, CA"
83,83,San Francisco,San Francisco Police Department,CA,5.0,7.0,,1.0,,5.0,,18,"805,235","46,781","337,451","1,828","265,700","3,128",268828,"2,494","26,079","121,774",52.76,32,4.0,3.2,15.3,2.1,8.2,7.21,3.88,7064.0,6761.0,6710.0,6190.0,6301.0,6144.0,6528.3,8.1,17451.0,14699.0,16604.0,15271.0,13950.0,13891.0,14883,12.1,"San Francisco County, CA"
84,84,San Jose,San Jose Police Department,CA,1.0,10.0,,1.0,1.0,7.0,2.0,22,"945,942","27,508","271,382","2,255","300,022","3,492",303514,"1,820","25,827","313,636",36.76,18,1.9,3.3,5.2,3.7,4.6,1.41,1.24,3215.0,3242.0,3400.0,3887.0,4188.0,4444.0,3729.3,3.9,17994.0,17729.0,16232.0,13034.0,13977.0,15392.0,15272.8,14.4,"Santa Clara County, CA"
85,85,Santa Ana,Santa Ana Police Department,CA,1.0,10.0,,1.0,,1.0,3.0,16,"324,528","3,177","29,950",507,"33,618",826,34444,375,"2,147","253,928",24.48,4,1.2,7.0,45.0,4.8,5.6,9.43,1.18,1121.0,1260.0,1626.0,1612.0,1640.0,1571.0,1471.7,4.5,8715.0,8641.0,8101.0,7349.0,7397.0,6609.0,7619.4,21.0,"Orange County, CA"
86,86,Scottsdale,Scottsdale Police Department,AZ,1.0,1.0,,,,4.0,2.0,8,"217,385","3,484","182,011","1,462","7,128",189,7317,276,"3,610","19,225",23.46,26,12.0,5.3,41.0,3.1,7.4,13.06,2.37,337.0,,434.0,369.0,396.0,422.0,391.6,1.8,10468.0,9673.0,8910.0,9066.0,9619.0,9296.0,9312.8,8.6,"Maricopa County, AZ"
87,87,Seattle,Seattle Police Department,WA,4.0,2.0,1.0,2.0,1.0,10.0,3.0,23,"608,660","47,113","403,578","3,881","83,537","2,246",85783,"1,464","26,512","40,329",51.68,10,1.6,5.4,12.1,3.5,7.1,3.43,2,3758.0,4001.0,4093.0,4294.0,4564.0,5052.0,4293.7,7.1,15100.0,13207.0,14230.0,14569.0,14543.0,15182.0,14346.2,16.0,"King County, WA"
88,88,Spokane,Spokane Police Department,WA,1.0,,2.0,,,11.0,1.0,15,"208,916","4,643","175,482","3,663","5,266","1,152",6418,281,"7,962","10,467",21.73,159,76.1,10.3,30.8,9.0,0.0,3.44,0,1440.0,1156.0,1111.0,,1360.0,1742.0,1361.8,6.5,10654.0,18510.0,23794.0,,4951.0,5865.0,13280,11.3,"Spokane County, WA"
89,89,St. Louis,St. Louis Metropolitan Police Department,MO,36.0,,,,,3.0,1.0,40,"319,294","156,389","134,702",684,"9,233",62,9295,478,"6,616","11,130",65.28,11,3.4,17.9,32.9,3.2,0.0,10.34,0,5077.0,5348.0,5762.0,6017.0,6461.0,5525.0,5698.3,17.8,23094.0,19261.0,20493.0,20163.0,18729.0,16993.0,19127.8,20.9,"St. Louis County, MO"
90,90,St. Paul,St. Paul Police Department,MN,5.0,1.0,2.0,2.0,,3.0,,13,"285,068","43,620","159,437","2,316","42,494",120,42614,494,"9,276","27,311",43.44,19,6.7,6.5,16.4,2.7,5.2,6.09,1.95,2200.0,1974.0,2115.0,1970.0,1996.0,1941.0,2032.7,7.1,11758.0,9820.0,9659.0,9024.0,9557.0,8632.0,9338.4,13.9,"Ramsey County, MN"
91,91,St. Petersburg,St. Petersburg Police Department,FL,2.0,,,,,8.0,,10,"244,769","57,489","157,409",567,"7,672",106,7778,539,"4,773","16,214",65.7,49,20.0,5.8,5.0,7.3,0.0,0.68,0,2379.0,2169.0,1898.0,1727.0,1842.0,1660.0,1945.8,7.9,13997.0,13654.0,13491.0,10907.0,10149.0,9753.0,11590.8,8.6,"Pinellas County, FL"
92,92,Stockton,Stockton Police Department,CA,5.0,5.0,,2.0,1.0,3.0,1.0,17,"291,707","33,507","66,836","1,237","60,323","1,622",61945,470,"10,122","117,590",37.25,28,9.6,8.3,21.3,6.4,6.1,3.32,0.95,3622.0,3988.0,4122.0,4381.0,4379.0,4383.0,4145.8,14.2,8008.0,7681.0,6261.0,6154.0,7435.0,7327.0,6971.6,24.4,"San Joaquin County, CA"
93,93,Tampa,Tampa Police Department,FL,4.0,,,2.0,,3.0,,9,"335,709","83,032","155,552",755,"11,362",207,11569,794,"6,535","77,472",58.69,24,7.1,3.8,6.9,2.8,0.0,2.5,0,2097.0,2080.0,2298.0,1906.0,1785.0,1598.0,1960.7,5.8,41318.0,38102.0,30983.0,25676.0,22660.0,20310.0,27546.2,3.3,"Hillsborough County, FL"
94,94,Toledo,Toledo Police Department,OH,3.0,,,,,4.0,,7,"287,208","76,820","176,468",755,"3,204",64,3268,522,"8,144","21,231",53.45,47,16.4,3.5,5.6,3.2,0.0,1.72,0,2902.0,3068.0,3156.0,3319.0,,2333.0,2955.6,10.3,,,,,7426.0,8467.0,7946.5,8.8,"Lucas County, OH"
95,95,Tucson,Tucson Police Department,AZ,2.0,10.0,,,,10.0,6.0,28,"520,116","23,362","245,323","8,776","14,211",951,15162,792,"10,393","216,308",25.65,46,8.8,7.7,12.2,5.8,6.6,2.1,1.13,3368.0,,3472.0,4245.0,4268.0,3958.0,3862.2,7.4,31892.0,32313.0,32294.0,33442.0,30569.0,28858.0,31495.2,8.9,"Pima County, AZ"
96,96,Tulsa,Tulsa Police Department,OK,7.0,4.0,,1.0,,14.0,1.0,27,"391,906","61,230","227,021","19,473","8,926",278,9204,473,"19,239","55,266",49.79,17,4.3,9.8,16.3,8.8,10.3,1.85,1.17,3827.0,3217.0,3628.0,4444.0,4214.0,4294.0,3937.3,10.0,16360.0,14739.0,15769.0,14311.0,12666.0,13303.0,14157.6,19.1,"Tulsa County, OK"
97,97,Virginia Beach,Virginia Beach Police Department,VA,3.0,,,,,2.0,1.0,6,"437,994","83,210","282,470","1,349","26,312",602,26914,863,"14,201","28,987",36.36,105,24.0,2.0,5.2,1.0,0.0,5.09,0,730.0,660.0,626.0,700.0,625.0,528.0,644.8,1.5,24359.0,23247.0,20259.0,19190.0,18668.0,17071.0,19687,3.0,"Virginia Beach County, VA"
98,98,Wichita,Wichita Police Department,KS,1.0,2.0,,,,10.0,,13,"382,368","42,676","246,744","3,424","18,272",311,18583,472,"12,121","58,348",49.27,15,3.9,4.9,3.3,5.8,4.9,0.58,0.85,3065.0,,3839.0,4136.0,3998.0,4622.0,3932.0,10.3,10566.0,9323.0,9307.0,9120.0,8322.0,3931.0,8000.6,16.2,"Sedgwick County, KS"
99,99,Winston-Salem,Winston-Salem Police Department,NC,3.0,,,,,,,3,"229,617","78,065","108,222",567,"4,536",138,4674,535,"3,801","33,753",50.44,13,5.7,1.9,5.5,0.0,0.0,#DIV/0!,#DIV/0!,1426.0,1696.0,,,,,1561.0,6.8,19742.0,18875.0,16146.0,15432.0,,12786.0,15809.75,1.9,"Forsyth County, NC"
